app,module,doctype,fieldname,label,fieldtype,pg_type,options,reqd,unique,index,read_only,default,fetch_from
erpnext,Accounts,Account,account_name,Account Name,Data,varchar(140),,1,0,0,0,,
erpnext,Accounts,Account,account_number,Account Number,Data,varchar(140),,0,0,0,0,,
erpnext,Accounts,Account,is_group,Is Group,Check,smallint,,0,0,0,0,0,
erpnext,Accounts,Account,company,Company,Link,varchar(140),Company,1,0,0,0,,parent_account.company
erpnext,Accounts,Account,root_type,Root Type,Select,varchar(140),Asset|Liability|Income|Expense|Equity,0,0,0,1,,
erpnext,Accounts,Account,report_type,Report Type,Select,varchar(140),Balance Sheet|Profit and Loss,0,0,0,1,,
erpnext,Accounts,Account,account_currency,Currency,Link,varchar(140),Currency,0,0,0,0,,
erpnext,Accounts,Account,parent_account,Parent Account,Link,varchar(140),Account,1,0,1,0,,
erpnext,Accounts,Account,account_type,Account Type,Select,varchar(140),Accumulated Depreciation|Asset Received But Not Billed|Bank|Cash|Chargeable|Capital Work in Progress|Cost of Goods Sold|Current Asset|Current Liability|Depreciation|Direct Expense|Direct Income|Equity|Expense Account|Expenses Included In Asset Valuation|Expenses Included In Valuation|Fixed Asset|Income Account|Indirect Expense|Indirect Income|Liability|Payable|Receivable|Round Off|Round Off for Opening|Stock|Stock Adjustment|Stock Received But Not Billed|Stock Delivered But Not Billed|Service Received But Not Billed|Tax|Temporary,0,0,1,0,,
erpnext,Accounts,Account,tax_rate,Tax Rate,Float,"numeric(21,9)",,0,0,0,0,,
erpnext,Accounts,Account,freeze_account,Frozen,Select,varchar(140),No|Yes,0,0,0,0,,
erpnext,Accounts,Account,balance_must_be,Balance must be,Select,varchar(140),Debit|Credit,0,0,0,0,,
erpnext,Accounts,Account,lft,Lft,Int,integer,,0,0,1,1,,
erpnext,Accounts,Account,rgt,Rgt,Int,integer,,0,0,1,1,,
erpnext,Accounts,Account,old_parent,Old Parent,Data,varchar(140),,0,0,0,1,,
erpnext,Accounts,Account,include_in_gross,Include in gross,Check,smallint,,0,0,0,0,0,
erpnext,Accounts,Account,disabled,Disable,Check,smallint,,0,0,0,0,0,
erpnext,Accounts,Account,account_category,Account Category,Link,varchar(140),Account Category,0,0,0,0,,
erpnext,Accounts,Account Category,account_category_name,Account Category Name,Data,varchar(140),,1,1,0,0,,
erpnext,Accounts,Account Category,description,Description,Small Text,text,,0,0,0,0,,
erpnext,Accounts,Account Category,root_type,Root Type,Select,varchar(140),Asset|Liability|Income|Expense|Equity,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,closing_date,Closing Date,Date,date,,0,0,1,0,,
erpnext,Accounts,Account Closing Balance,account,Account,Link,varchar(140),Account,0,0,1,0,,
erpnext,Accounts,Account Closing Balance,cost_center,Cost Center,Link,varchar(140),Cost Center,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,debit,Debit Amount,Currency,"numeric(21,9)",Company:company:default_currency,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,credit,Credit Amount,Currency,"numeric(21,9)",Company:company:default_currency,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,account_currency,Account Currency,Link,varchar(140),Currency,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,debit_in_account_currency,Debit Amount in Account Currency,Currency,"numeric(21,9)",account_currency,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,credit_in_account_currency,Credit Amount in Account Currency,Currency,"numeric(21,9)",account_currency,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,project,Project,Link,varchar(140),Project,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,company,Company,Link,varchar(140),Company,0,0,1,0,,
erpnext,Accounts,Account Closing Balance,finance_book,Finance Book,Link,varchar(140),Finance Book,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,period_closing_voucher,Period Closing Voucher,Link,varchar(140),Period Closing Voucher,0,0,1,0,,
erpnext,Accounts,Account Closing Balance,is_period_closing_voucher_entry,Is Period Closing Voucher Entry,Check,smallint,,0,0,0,0,0,
erpnext,Accounts,Account Closing Balance,debit_in_reporting_currency,Debit Amount in Reporting Currency,Currency,"numeric(21,9)",Company:company:reporting_currency,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,credit_in_reporting_currency,Credit Amount in Reporting Currency,Currency,"numeric(21,9)",Company:company:reporting_currency,0,0,0,0,,
erpnext,Accounts,Account Closing Balance,reporting_currency_exchange_rate,Reporting Currency Exchange Rate,Float,"numeric(21,9)",,0,0,0,0,,
erpnext,Accounts,Accounting Dimension,label,Dimension Name,Data,varchar(140),,0,1,0,0,,
erpnext,Accounts,Accounting Dimension,fieldname,Fieldname,Data,varchar(140),,0,0,0,0,,
erpnext,Accounts,Accounting Dimension,document_type,Reference Document Type,Link,varchar(140),DocType,1,0,1,0,,
erpnext,Accounts,Accounting Dimension,disabled,Disable,Check,smallint,,0,0,0,1,0,
erpnext,Accounts,Accounting Dimension Detail,company,Company,Link,varchar(140),Company,0,0,0,0,,
erpnext,Accounts,Accounting Dimension Detail,reference_document,Reference Document,Link,varchar(140),DocType,0,0,0,1,,
erpnext,Accounts,Accounting Dimension Detail,default_dimension,Default Dimension,Dynamic Link,varchar(140),reference_document,0,0,0,0,,
erpnext,Accounts,Accounting Dimension Detail,mandatory_for_bs,Mandatory For Balance Sheet,Check,smallint,,0,0,0,0,0,
erpnext,Accounts,Accounting Dimension Detail,mandatory_for_pl,Mandatory For Profit and Loss Account,Check,smallint,,0,0,0,0,0,
erpnext,Accounts,Accounting Dimension Detail,automatically_post_balancing_accounting_entry,Automatically post balancing accounting entry,Check,smallint,,0,0,0,0,0,
erpnext,Accounts,Accounting Dimension Detail,offsetting_account,Offsetting Account,Link,varchar(140),Account,0,0,0,0,,
erpnext,Accounts,Accounting Dimension Filter,accounting_dimension,Accounting Dimension,Select,varchar(140),,1,0,0,0,,
erpnext,Accounts,Accounting Dimension Filter,allow_or_restrict,Allow Or Restrict Dimension,Select,varchar(140),Allow|Restrict,1,0,0,0,,
erpnext,Accounts,Accounting Dimension Filter,disabled,Disabled,Check,smallint,,0,0,0,0,0,
erpnext,Accounts,Accounting Dimension Filter,company,Company,Link,varchar(140),Company,1,0,0,0,,
erpnext,Accounts,Accounting Dimension Filter,apply_restriction_on_values,Apply restriction on dimension values,Check,smallint,,0,0,0,0,1,
erpnext,Accounts,Accounting Dimension Filter,fieldname,Fieldname,Data,varchar(140),,0,0,0,0,,
erpnext,Accounts,Accounting Period,period_name,Period Name,Data,varchar(140),,1,1,0,0,,
erpnext,Accounts,Accounting Period,start_date,Start Date,Date,date,,1,0,0,0,,
erpnext,Accounts,Accounting Period,end_date,End Date,Date,date,,1,0,0,0,,
erpnext,Accounts,Accounting Period,company,Company,Link,varchar(140),Company,1,0,0,0,,
